Aasta;Kategooria;Lavastuse liik / žanr;Lavastused;..uuslavastused;Etendused;..külalisetendused;Vaatajad, tuhat;Teatriskäigud 1000 elaniku kohta;Keskmine piletihind, eurot
;Riigi- ja linnateatrid;Lastelavastus;52;19;788;96;195,90;146,10;5,63
;Riigi- ja linnateatrid;Muu lavastus;6;6;24;0;3,30;2,40;11,31
;Riigi- ja linnateatrid;Muusikalavastus;26;7;247;16;136,10;101,50;13,54
;Riigi- ja linnateatrid;Sõnalavastus;177;67;2 141;380;433,50;323,40;9,01
;Riigi- ja linnateatrid;Tantsulavastus;15;1;92;8;31,50;23,50;9,41
;Teatrid kokku;..draama;143;56;1 721;316;300,50;224,10;9,46
;Teatrid kokku;..klassikaline tants;9;1;59;3;26,60;19,90;9,90
;Teatrid kokku;..komöödia;59;21;813;351;189,90;141,60;8,19
;Teatrid kokku;..muu lastelavastus;9;5;79;45;7,30;5,50;3,13
;Teatrid kokku;..muu muusikalavastus;5;3;54;12;34,30;25,60;15,72
;Teatrid kokku;..muu sõnalavastus;10;6;157;18;26,40;19,70;9,57
;Teatrid kokku;..muu tantsulavastus;7;3;26;21;2,90;2,20;6,11
;Teatrid kokku;..muusikal;4;1;44;4;22,40;16,70;11,34
;Teatrid kokku;..muusikalavastus lastele;6;3;93;8;37,20;27,80;6,27
;Teatrid kokku;..nukulavastus lastele;25;5;479;177;53,20;39,70;3,98
;Teatrid kokku;..nüüdistants;35;16;153;81;16,10;12;6,66
;Teatrid kokku;..ooper;16;4;115;2;49;36,60;11,80
;Teatrid kokku;..operett;4;2;59;0;37,50;28;15,49
;Teatrid kokku;..sõnalavastus lastele;35;13;437;162;101,20;75,50;4,77
;Teatrid kokku;..tantsulavastus lastele;7;3;66;12;30,20;22,60;7,81
;Teatrid kokku;..tragikomöödia;12;4;195;72;38,30;28,50;9,05
;Teatrid kokku;Kokku;400;157;4 635;1 304;983,10;733,30;8,83
;Teatrid kokku;Lastelavastus;82;29;1 154;404;229,30;171;5,24
;Teatrid kokku;Muu lavastus;14;11;85;20;10;7,50;8,72
;Teatrid kokku;Muusikalavastus;29;10;272;18;143,20;106,80;13,65
;Teatrid kokku;Sõnalavastus;224;87;2 886;757;555;414;8,99
;Teatrid kokku;Tantsulavastus;51;20;238;105;45,60;34;9,28
2009;Muud teatrid;..draama;31;15;306;70;26;19,40;7,83
;Muud teatrid;..klassikaline tants;0;0;0;0;0;0;0
;Muud teatrid;..komöödia;19;6;284;226;43,10;32,10;7,22
;Muud teatrid;..muu lastelavastus;7;6;71;65;8;5,90;1,59
;Muud teatrid;..muu muusikalavastus;5;2;34;2;3,50;2,60;9,16
;Muud teatrid;..muu sõnalavastus;2;1;18;18;7,80;5,80;8,72
;Muud teatrid;..muu tantsulavastus;3;1;16;9;1,70;1,30;0
;Muud teatrid;..muusikal;0;0;0;0;0;0;0
;Muud teatrid;..muusikalavastus lastele;0;0;0;0;0;0;0
;Muud teatrid;..nukulavastus lastele;6;1;195;195;15,50;11,60;2,08
;Muud teatrid;..nüüdistants;23;11;119;64;10,30;7,70;5,80
;Muud teatrid;..ooper;1;1;9;0;1;0,70;6,47
;Muud teatrid;..operett;0;0;0;0;0;0;0
;Muud teatrid;..sõnalavastus lastele;6;2;63;44;8,50;6,30;3,94
;Muud teatrid;..tantsulavastus lastele;1;1;8;4;0,30;0,30;3,21
;Muud teatrid;..tragikomöödia;4;2;57;22;7,10;5,30;10,03
;Muud teatrid;Kokku;115;54;1 218;732;135,60;101,20;6,37
;Muud teatrid;Lastelavastus;20;10;337;308;32,30;24,10;2,45
;Muud teatrid;Muu lavastus;7;5;38;13;2,70;2;7,22
;Muud teatrid;Muusikalavastus;6;3;43;2;4,50;3,40;8,74
;Muud teatrid;Sõnalavastus;56;24;665;336;84;62,70;7,77
;Muud teatrid;Tantsulavastus;26;12;135;73;12;9;5,80
;Riigi- ja linnateatrid;..draama;109;43;1 411;127;237,70;177,30;9,35
;Riigi- ja linnateatrid;..klassikaline tants;10;3;67;2;29,60;22,10;9,02
;Riigi- ja linnateatrid;..komöödia;42;13;585;100;140,50;104,80;8,35
;Riigi- ja linnateatrid;..muu lastelavastus;2;1;9;0;3,30;2,40;5,46
;Riigi- ja linnateatrid;..muu muusikalavastus;6;5;70;8;23,80;17,80;9,43
;Riigi- ja linnateatrid;..muu sõnalavastus;6;1;80;8;11,30;8,40;8,67
;Riigi- ja linnateatrid;..muu tantsulavastus;1;0;2;0;0,60;0,40;8,81
;Riigi- ja linnateatrid;..muusikal;4;2;29;0;23,80;17,70;16
;Riigi- ja linnateatrid;..muusikalavastus lastele;5;1;96;15;37,90;28,30;8,08
;Riigi- ja linnateatrid;..nukulavastus lastele;34;6;488;42;34,40;25,70;4,08
;Riigi- ja linnateatrid;..nüüdistants;4;2;38;10;4,50;3,30;6,35
;Riigi- ja linnateatrid;..ooper;19;5;110;2;41,10;30,70;10,60
;Riigi- ja linnateatrid;..operett;3;0;56;0;29;21,70;15,33
;Riigi- ja linnateatrid;..sõnalavastus lastele;26;14;354;62;91,10;68;5,29
;Riigi- ja linnateatrid;..tantsulavastus lastele;5;0;43;2;19;14,20;7,06
;Riigi- ja linnateatrid;..tragikomöödia;6;0;58;15;9,40;7;6,27
;Riigi- ja linnateatrid;Kokku;286;99;3 513;393;738,20;550,80;8,74
;Riigi- ja linnateatrid;Lastelavastus;72;22;990;121;185,70;138,60;5,85
